Before calculating fudge factor
                data     N  A  nbar  M       a0 nu       true        est |log(true)-log(est)|
           spceN2250  2250 30 14.00 24    8.750  8  3.402e-05  3.605e-07 4.547
           spceN2250  2250 30 14.00 24    8.750 10  1.792e-05  7.358e-09 7.798
           spceN2250  2250 30 16.00 24   10.000  4  4.759e-04  5.074e-04 0.064
           spceN2250  2250 30 16.00 24   10.000  6  5.012e-05  7.929e-06 1.844
           spceN2250  2250 30 16.00 24   10.000  8  1.153e-05  1.239e-07 4.534
           spceN2250  2250 30 16.00 24   10.000 10  4.703e-06  1.936e-09 7.796
           spceN2250  2250 30 18.00 24   11.250  4  2.963e-04  3.168e-04 0.067
           spceN2250  2250 30 18.00 24   11.250  6  2.444e-05  3.911e-06 1.832
           spceN2250  2250 30 18.00 24   11.250  8  4.428e-06  4.828e-08 4.519
           spceN2250  2250 30 18.00 24   11.250 10  1.438e-06  5.961e-10 7.789
           spceN2250  2250 30 20.00 24   12.500  4  1.912e-04  2.078e-04 0.083
           spceN2250  2250 30 20.00 24   12.500  6  1.255e-05  2.078e-06 1.798
           spceN2250  2250 30 20.00 24   12.500  8  1.826e-06  2.078e-08 4.476
           spceN2250  2250 30 20.00 24   12.500 10  4.878e-07  2.078e-10 7.761
           spceN2250  2250 30 22.00 24   13.750  4  1.276e-04  1.420e-04 0.106
           spceN2250  2250 30 22.00 24   13.750  6  6.704e-06  1.173e-06 1.743
           spceN2250  2250 30 22.00 24   13.750  8  7.866e-07  9.696e-09 4.396
           spceN2250  2250 30 22.00 24   13.750 10  1.756e-07  8.013e-11 7.692
               Box44 65850 88 12.00 74    7.135  4  1.373e-03  1.504e-03 0.091
               Box44 65850 88 12.00 74    7.135  6  2.551e-04  4.066e-05 1.836
               Box44 65850 88 12.00 74    7.135  8  8.760e-05  1.100e-06 4.378
               Box44 65850 88 12.00 74    7.135 10  5.322e-05  2.974e-08 7.490
               Box44 65850 88 14.00 74    8.324  4  7.159e-04  8.117e-04 0.126
               Box44 65850 88 14.00 74    8.324  6  9.799e-05  1.613e-05 1.804
               Box44 65850 88 14.00 74    8.324  8  2.956e-05  3.204e-07 4.525
               Box44 65850 88 14.00 74    8.324 10  1.222e-05  6.365e-09 7.560
               Box44 65850 88 16.00 74    9.514  4  4.320e-04  4.758e-04 0.097
               Box44 65850 88 16.00 74    9.514  6  3.814e-05  7.237e-06 1.662
               Box44 65850 88 16.00 74    9.514  8  8.737e-06  1.101e-07 4.374
               Box44 65850 88 16.00 74    9.514 10  3.550e-06  1.675e-09 7.659
               Box44 65850 88 18.00 74   10.703  4  2.493e-04  2.970e-04 0.175
               Box44 65850 88 18.00 74   10.703  6  2.002e-05  3.570e-06 1.724
               Box44 65850 88 18.00 74   10.703  8  3.349e-06  4.291e-08 4.358
               Box44 65850 88 18.00 74   10.703 10  9.697e-07  5.157e-10 7.539
               Box44 65850 88 20.00 74   11.892  4  1.904e-04  1.949e-04 0.023
               Box44 65850 88 20.00 74   11.892  6  9.314e-06  1.897e-06 1.591
               Box44 65850 88 20.00 74   11.892  8  1.408e-06  1.847e-08 4.334
               Box44 65850 88 20.00 74   11.892 10  3.496e-07  1.798e-10 7.573
               Box44 65850 88 22.00 74   13.081  4  1.372e-04  1.331e-04 0.031
               Box44 65850 88 22.00 74   13.081  6  5.980e-06  1.071e-06 1.720
               Box44 65850 88 22.00 74   13.081  8  6.252e-07  8.616e-09 4.284
               Box44 65850 88 22.00 74   13.081 10  1.347e-07  6.932e-11 7.572
Fudge factors (training)
[0.8251687275525531, 5.167012785920062, 73.65083075349007, 1977.2284201427822]
Training -- (fudgefactors applied!)
Testing -- (fudgefactors applied!)
