   N   M       a0 nu      error
 900  35   11.000  6  4.832e-07
 900  35   11.000  8  1.940e-08
 900  35   11.000 10  1.368e-09
2250  24    9.000  4  7.429e-04
2250  24    9.000  6  9.412e-05
2250  24    9.000  8  2.640e-05
2250  24    9.000 10  1.333e-05
2250  24   10.000  4  4.759e-04
2250  24   10.000  6  5.012e-05
2250  24   10.000  8  1.153e-05
2250  24   10.000 10  4.703e-06
2250  24   11.000  4  3.189e-04
2250  24   11.000  6  2.742e-05
2250  24   11.000  8  5.270e-06
2250  24   11.000 10  1.775e-06
2250  27    9.000  4  5.348e-04
2250  27    9.000  6  5.481e-05
2250  27    9.000  8  1.237e-05
2250  27    9.000 10  4.811e-06
2250  27   10.000  4  3.453e-04
2250  27   10.000  6  2.899e-05
2250  27   10.000  8  5.413e-06
2250  27   10.000 10  1.706e-06
2250  27   11.000  4  2.336e-04
2250  27   11.000  6  1.622e-05
2250  27   11.000  8  2.551e-06
2250  27   11.000 10  6.856e-07
2250  30    9.000  4  3.865e-04
2250  30    9.000  6  3.154e-05
2250  30    9.000  8  5.765e-06
2250  30    9.000 10  1.845e-06
2250  30   10.000  4  2.530e-04
2250  30   10.000  6  1.683e-05
2250  30   10.000  8  2.485e-06
2250  30   10.000 10  6.426e-07
2250  30   11.000  4  1.717e-04
2250  30   11.000  6  9.432e-06
2250  30   11.000  8  1.151e-06
2250  30   11.000 10  2.464e-07
2250  32    9.000  4  3.166e-04
2250  32    9.000  6  2.238e-05
2250  32    9.000  8  3.568e-06
2250  32    9.000 10  1.013e-06
2250  32   10.000  4  2.067e-04
2250  32   10.000  6  1.182e-05
2250  32   10.000  8  1.523e-06
2250  32   10.000 10  3.483e-07
2250  32   11.000  4  1.397e-04
2250  32   11.000  6  6.609e-06
2250  32   11.000  8  6.986e-07
2250  32   11.000 10  1.312e-07
2250  35    9.000  4  2.432e-04
2250  35    9.000  6  1.402e-05
2250  35    9.000  8  1.809e-06
2250  35    9.000 10  4.233e-07
2250  35   10.000  4  1.579e-04
2250  35   10.000  6  7.478e-06
2250  35   10.000  8  7.958e-07
2250  35   10.000 10  1.516e-07
2250  35   11.000  4  1.079e-04
2250  35   11.000  6  4.225e-06
2250  35   11.000  8  3.746e-07
2250  35   11.000 10  5.919e-08
