                data     N  A  nbar  M       a0 nu       true        est |log(true)-log(est)|
 ../../data/spceN900   900 20 22.00 18   12.222  8  9.283e-07  6.915e-07 0.295
 ../../data/spceN900   900 20 22.00 18   12.222 10  1.976e-07  1.534e-07 0.253
../../data/spceN2250  2250 30 12.00 24    7.500  4  1.485e-03  1.323e-03 0.116
../../data/spceN2250  2250 30 12.00 24    7.500  6  2.816e-04  2.302e-04 0.201
../../data/spceN2250  2250 30 12.00 24    7.500  8  1.172e-04  9.114e-05 0.252
../../data/spceN2250  2250 30 12.00 24    7.500 10  8.417e-05  6.797e-05 0.214
../../data/spceN2250  2250 30 14.00 24    8.750  4  8.246e-04  7.143e-04 0.144
../../data/spceN2250  2250 30 14.00 24    8.750  6  1.129e-04  9.128e-05 0.212
../../data/spceN2250  2250 30 14.00 24    8.750  8  3.402e-05  2.655e-05 0.248
../../data/spceN2250  2250 30 14.00 24    8.750 10  1.792e-05  1.455e-05 0.208
../../data/spceN2250  2250 30 16.00 24   10.000  4  4.759e-04  4.187e-04 0.128
../../data/spceN2250  2250 30 16.00 24   10.000  6  5.012e-05  4.097e-05 0.202
../../data/spceN2250  2250 30 16.00 24   10.000  8  1.153e-05  9.124e-06 0.234
../../data/spceN2250  2250 30 16.00 24   10.000 10  4.703e-06  3.827e-06 0.206
../../data/spceN2250  2250 30 18.00 24   11.250  4  2.963e-04  2.614e-04 0.125
../../data/spceN2250  2250 30 18.00 24   11.250  6  2.444e-05  2.021e-05 0.190
../../data/spceN2250  2250 30 18.00 24   11.250  8  4.428e-06  3.556e-06 0.219
../../data/spceN2250  2250 30 18.00 24   11.250 10  1.438e-06  1.179e-06 0.199
../../data/spceN2250  2250 30 20.00 24   12.500  4  1.912e-04  1.715e-04 0.109
../../data/spceN2250  2250 30 20.00 24   12.500  6  1.255e-05  1.074e-05 0.156
../../data/spceN2250  2250 30 20.00 24   12.500  8  1.826e-06  1.531e-06 0.177
../../data/spceN2250  2250 30 20.00 24   12.500 10  4.878e-07  4.110e-07 0.171
../../data/spceN2250  2250 30 22.00 24   13.750  4  1.276e-04  1.171e-04 0.086
../../data/spceN2250  2250 30 22.00 24   13.750  6  6.704e-06  6.062e-06 0.101
../../data/spceN2250  2250 30 22.00 24   13.750  8  7.866e-07  7.141e-07 0.097
../../data/spceN2250  2250 30 22.00 24   13.750 10  1.756e-07  1.584e-07 0.103
    ../../data/Box44 65850 88 12.16 75    7.135  4  1.373e-03  1.241e-03 0.101
    ../../data/Box44 65850 88 12.16 75    7.135  6  2.551e-04  2.101e-04 0.194
    ../../data/Box44 65850 88 12.16 75    7.135  8  8.760e-05  8.099e-05 0.078
    ../../data/Box44 65850 88 12.16 75    7.135 10  5.322e-05  5.879e-05 0.100
    ../../data/Box44 65850 88 14.19 75    8.324  4  7.159e-04  6.698e-04 0.067
    ../../data/Box44 65850 88 14.19 75    8.324  6  9.799e-05  8.332e-05 0.162
    ../../data/Box44 65850 88 14.19 75    8.324  8  2.956e-05  2.360e-05 0.225
    ../../data/Box44 65850 88 14.19 75    8.324 10  1.222e-05  1.259e-05 0.030
    ../../data/Box44 65850 88 16.22 75    9.514  4  4.320e-04  3.926e-04 0.096
    ../../data/Box44 65850 88 16.22 75    9.514  6  3.814e-05  3.739e-05 0.020
    ../../data/Box44 65850 88 16.22 75    9.514  8  8.737e-06  8.108e-06 0.075
    ../../data/Box44 65850 88 16.22 75    9.514 10  3.550e-06  3.311e-06 0.070
    ../../data/Box44 65850 88 18.24 75   10.703  4  2.493e-04  2.451e-04 0.017
    ../../data/Box44 65850 88 18.24 75   10.703  6  2.002e-05  1.845e-05 0.082
    ../../data/Box44 65850 88 18.24 75   10.703  8  3.349e-06  3.160e-06 0.058
    ../../data/Box44 65850 88 18.24 75   10.703 10  9.697e-07  1.020e-06 0.050
    ../../data/Box44 65850 88 20.27 75   11.892  4  1.904e-04  1.608e-04 0.169
    ../../data/Box44 65850 88 20.27 75   11.892  6  9.314e-06  9.803e-06 0.051
    ../../data/Box44 65850 88 20.27 75   11.892  8  1.408e-06  1.360e-06 0.034
    ../../data/Box44 65850 88 20.27 75   11.892 10  3.496e-07  3.555e-07 0.017
    ../../data/Box44 65850 88 22.30 75   13.081  4  1.372e-04  1.098e-04 0.223
    ../../data/Box44 65850 88 22.30 75   13.081  6  5.980e-06  5.533e-06 0.078
    ../../data/Box44 65850 88 22.30 75   13.081  8  6.252e-07  6.346e-07 0.015
    ../../data/Box44 65850 88 22.30 75   13.081 10  1.347e-07  1.371e-07 0.018
